"day","hour","forecast","value location:60_127 Start : 20180901 "
"03","09:30","+3","22.000000"
"03","10:30","+1","21.400000"
"03","10:30","+2","22.000000"
"03","11:30","+1","22.000000"
"03","11:30","+2","22.000000"
"03","11:30","+3","22.000000"
"03","11:30","+4","22.000000"
"03","12:30","+1","20.500000"
"03","12:30","+2","21.299999"
"03","12:30","+3","22.000000"
"03","13:30","+1","20.900000"
"03","13:30","+2","22.000000"
"03","14:30","+1","22.000000"
"03","14:30","+2","22.299999"
"03","14:30","+3","22.700001"
"03","14:30","+4","23.000000"
"03","15:30","+1","21.200001"
"03","15:30","+2","22.100000"
"03","15:30","+3","23.000000"
"03","16:30","+1","21.799999"
"03","16:30","+2","23.000000"
"03","17:30","+1","23.000000"
"03","17:30","+2","22.700001"
"03","17:30","+3","22.299999"
"03","17:30","+4","22.000000"
"03","18:30","+1","21.200001"
"03","18:30","+2","21.600000"
"03","18:30","+3","22.000000"
"03","19:30","+1","21.400000"
"03","19:30","+2","22.000000"
"03","20:30","+1","22.000000"
"03","20:30","+2","22.299999"
"03","20:30","+3","22.700001"
"03","20:30","+4","23.000000"
"03","21:30","+1","20.700001"
"03","21:30","+2","21.799999"
"03","21:30","+3","23.000000"
"03","22:30","+1","21.200001"
"03","22:30","+2","23.000000"
"03","23:30","+1","23.000000"
"03","23:30","+2","24.299999"
"03","23:30","+3","25.700001"
"03","23:30","+4","27.000000"
"04","00:30","+1","23.200001"
"04","00:30","+2","25.100000"
"04","00:30","+3","27.000000"
"04","01:30","+1","24.900000"
"04","01:30","+2","27.000000"
"04","02:30","+1","27.000000"
"04","02:30","+2","27.000000"
"04","02:30","+3","27.000000"
"04","02:30","+4","27.000000"
"04","03:30","+1","25.700001"
"04","03:30","+2","26.299999"
"04","03:30","+3","27.000000"
"04","04:30","+1","26.200001"
"04","04:30","+2","27.000000"
"04","05:30","+1","27.000000"
"04","05:30","+2","26.700001"
"04","05:30","+3","26.299999"
"04","05:30","+4","26.000000"
"04","06:30","+1","25.700001"
"04","06:30","+2","25.900000"
"04","06:30","+3","26.000000"
"04","07:30","+1","26.000000"
"04","07:30","+2","26.000000"
"04","08:30","+1","26.000000"
"04","08:30","+2","24.700001"
"04","08:30","+3","23.299999"
"04","08:30","+4","22.000000"
"04","09:30","+1","23.799999"
"04","09:30","+2","22.900000"
"04","09:30","+3","22.000000"
"04","10:30","+1","22.799999"
"04","10:30","+2","22.000000"
"04","11:30","+1","22.000000"
"04","11:30","+2","21.700001"
"04","11:30","+3","21.299999"
"04","11:30","+4","21.000000"
"04","12:30","+1","21.500000"
"04","12:30","+2","21.299999"
"04","12:30","+3","21.000000"
"04","13:30","+1","21.100000"
"04","13:30","+2","21.000000"
"04","14:30","+1","21.000000"
"04","14:30","+2","21.000000"
"04","14:30","+3","21.000000"
"04","14:30","+4","21.000000"
"04","15:30","+1","20.400000"
"04","15:30","+2","20.700001"
"04","15:30","+3","21.000000"
"04","16:30","+1","20.500000"
"04","16:30","+2","21.000000"
"04","17:30","+1","21.000000"
"04","17:30","+2","20.700001"
"04","17:30","+3","20.299999"
"04","17:30","+4","20.000000"
"04","18:30","+1","19.900000"
"04","18:30","+2","20.000000"
"04","18:30","+3","20.000000"
"04","19:30","+1","19.700001"
"04","19:30","+2","20.000000"
"04","20:30","+1","20.000000"
"04","20:30","+2","21.000000"
"04","20:30","+3","22.000000"
"04","20:30","+4","23.000000"
"04","21:30","+1","20.799999"
"04","21:30","+2","21.900000"
"04","21:30","+3","23.000000"
"04","22:30","+1","21.500000"
"04","22:30","+2","23.000000"
"04","23:30","+1","23.000000"
"04","23:30","+2","24.000000"
"04","23:30","+3","25.000000"
"04","23:30","+4","26.000000"
"05","00:30","+1","23.799999"
"05","00:30","+2","24.900000"
"05","00:30","+3","26.000000"
"05","01:30","+1","25.200001"
"05","01:30","+2","26.000000"
"05","02:30","+1","26.000000"
"05","02:30","+2","26.299999"
"05","02:30","+3","26.700001"
"05","02:30","+4","27.000000"
"05","03:30","+1","26.400000"
"05","03:30","+2","26.700001"
"05","03:30","+3","27.000000"
"05","04:30","+1","26.799999"
"05","04:30","+2","27.000000"
"05","05:30","+1","27.000000"
"05","05:30","+2","26.700001"
"05","05:30","+3","26.299999"
"05","05:30","+4","26.000000"
"05","06:30","+1","26.900000"
"05","06:30","+2","26.400000"
"05","06:30","+3","26.000000"
"05","07:30","+1","26.700001"
"05","07:30","+2","26.000000"
"05","08:30","+1","26.000000"
"05","08:30","+2","24.700001"
"05","08:30","+3","23.299999"
"05","08:30","+4","22.000000"
"05","09:30","+1","25.400000"
"05","09:30","+2","24.700001"
"05","09:30","+3","24.000000"
"05","10:30","+1","24.500000"
"05","10:30","+2","24.000000"
"05","11:30","+1","24.000000"
"05","11:30","+2","23.299999"
"05","11:30","+3","22.700001"
"05","11:30","+4","22.000000"
"05","12:30","+1","23.600000"
"05","12:30","+2","22.799999"
"05","12:30","+3","22.000000"
"05","13:30","+1","22.799999"
"05","13:30","+2","22.000000"
"05","14:30","+1","22.000000"
"05","14:30","+2","21.700001"
"05","14:30","+3","21.299999"
"05","14:30","+4","21.000000"
"05","15:30","+1","21.600000"
"05","15:30","+2","21.299999"
"05","15:30","+3","21.000000"
"05","16:30","+1","21.200001"
"05","16:30","+2","21.000000"
"05","17:30","+1","21.000000"
"05","17:30","+2","20.299999"
"05","17:30","+3","19.700001"
"05","17:30","+4","19.000000"
"05","18:30","+1","20.299999"
"05","18:30","+2","19.700001"
"05","18:30","+3","19.000000"
"05","19:30","+1","19.799999"
"05","19:30","+2","19.000000"
"05","20:30","+1","19.000000"
"05","20:30","+2","20.000000"
"05","20:30","+3","21.000000"
"05","20:30","+4","22.000000"
"05","21:30","+1","21.700001"
"05","21:30","+2","22.400000"
"05","21:30","+3","23.000000"
"05","22:30","+1","21.900000"
"05","22:30","+2","23.000000"
"05","23:30","+1","23.000000"
"05","23:30","+2","24.299999"
"05","23:30","+3","25.700001"
"05","23:30","+4","27.000000"
"06","00:30","+1","23.900000"
"06","00:30","+2","25.400000"
"06","00:30","+3","27.000000"
"06","01:30","+1","25.500000"
"06","01:30","+2","27.000000"
"06","02:30","+1","27.000000"
"06","02:30","+2","27.299999"
"06","02:30","+3","27.700001"
"06","02:30","+4","28.000000"
"06","03:30","+1","27.100000"
"06","03:30","+2","27.500000"
"06","03:30","+3","28.000000"
