진료년도,주상병코드,성별,입원외래구분,환자수(명),청구건수(건),요양급여비용(원)
2013,A36,여,외래,3 ,5 ,232900 
2013,A36,남,입원,1 ,1 ,293620 
2013,A37,남,외래,59 ,106 ,2508660 
2013,A37,여,외래,82 ,145 ,2686150 
2013,A37,남,입원,9 ,9 ,20119120 
2013,A37,여,입원,10 ,10 ,12240430 
2013,A38,남,외래,7545 ,15335 ,233117590 
2013,A38,여,외래,5706 ,11388 ,174063630 
2013,A38,남,입원,691 ,713 ,364700370 
2013,A38,여,입원,509 ,517 ,275877980 
2013,A39,남,외래,29 ,39 ,1169000 
2013,A39,여,외래,36 ,55 ,1985270 
2013,A39,남,입원,5 ,5 ,7057710 
2013,A39,여,입원,4 ,19 ,145706510 
2013,A40,남,외래,155 ,238 ,6140000 
2013,A40,여,외래,158 ,263 ,5981620 
2013,A40,남,입원,74 ,99 ,391439300 
2013,A40,여,입원,103 ,129 ,460456690 
2013,A41,남,외래,7476 ,12432 ,510412190 
2013,A41,여,외래,7078 ,12338 ,481981600 
2013,A41,남,입원,11023 ,15908 ,45759152360 
2013,A41,여,입원,12625 ,18605 ,44352623580 
2013,A42,남,외래,554 ,1556 ,75747240 
2013,A42,여,외래,1309 ,2950 ,103342700 
2013,A42,남,입원,67 ,86 ,232094640 
2013,A42,여,입원,96 ,125 ,321794710 
2013,A43,남,외래,13 ,40 ,2473480 
2013,A43,여,외래,9 ,15 ,521320 
2013,A43,남,입원,5 ,7 ,27167630 
2013,A43,여,입원,1 ,1 ,2903850 
2013,A44,남,외래,4 ,4 ,123090 
2013,A44,여,외래,9 ,10 ,373800 
2013,A44,여,입원,1 ,1 ,333830 
2013,A46,남,외래,1265 ,2928 ,66582620 
2013,A46,여,외래,1694 ,4175 ,87506840 
2013,A46,남,입원,110 ,113 ,96326730 
2013,A46,여,입원,183 ,193 ,149309130 
2013,A48,남,외래,399 ,740 ,21392580 
2013,A48,여,외래,7473 ,13786 ,220622270 
2013,A48,남,입원,68 ,80 ,255908790 
2013,A48,여,입원,75 ,103 ,276934170 
2013,A49,남,외래,24310 ,51935 ,787546330 
2013,A49,여,외래,44076 ,90802 ,1618853510 
2013,A49,남,입원,1924 ,2109 ,2100949930 
2013,A49,여,입원,1900 ,2075 ,1963767950 
2013,A50,남,외래,164 ,326 ,9926380 
2013,A50,여,외래,159 ,316 ,9361190 
2013,A50,남,입원,36 ,38 ,120379770 
2013,A50,여,입원,30 ,32 ,91461160 
2013,A51,남,외래,3388 ,7570 ,255363810 
2013,A51,여,외래,2604 ,6190 ,172100640 
2013,A51,남,입원,128 ,141 ,62734840 
2013,A51,여,입원,110 ,119 ,41780040 
2013,A52,남,외래,1149 ,3119 ,108507360 
2013,A52,여,외래,1063 ,2781 ,58111680 
2013,A52,남,입원,72 ,98 ,240838150 
2013,A52,여,입원,45 ,69 ,139413470 
2013,A53,남,외래,6522 ,16322 ,375030740 
2013,A53,여,외래,5990 ,15082 ,339423100 
2013,A53,남,입원,192 ,198 ,58034580 
2013,A53,여,입원,112 ,113 ,33081500 
2013,A54,남,외래,11327 ,27172 ,453391800 
2013,A54,여,외래,2744 ,5287 ,134666180 
2013,A54,남,입원,7 ,7 ,5069320 
2013,A54,여,입원,156 ,168 ,179017960 
